Nombre*,Categoría,Código,Descripción,Costo unitario,Precio*,Precio de promoción,Exibir no catálogo,Destacar,Fracción?,Controlar stock,Stock atual,Stock mínimo
"🔴 Sellador de Vino y Champagne Velvet,Nuevos ingresos,N/A,""🍷 ¡Mantén tus burbujas frescas y listas para disfrutar! Con el sellador Velvet, tus botellas de vino y champagne se conservarán como recién abiertas. Su diseño ergonómico y elegante asegura un sellado perfecto cada vez.  | ⚙️ CARACTERÍSTICAS TÉCNICAS:   | - Preserva las burbujas del champagne.   | - Sella el vino herméticamente.   | - Acabado suave al tacto para un fácil agarre.   | 💻 COMPATIBILIDAD:   | - Botellas de vino estándar.   | - Botellas de champagne."",100,350,,S,N,N,N,1,1"
"🔴 Convertidor de Voltaje 220V a 110V para Viajes,Nuevos ingresos,N/A,""🌍 ¡Mantén tus dispositivos cargados en cualquier parte del mundo! Este convertidor de voltaje es ideal para viajeros que buscan comodidad y seguridad. 🚀 | ⚙️ CARACTERÍSTICAS TÉCNICAS: | - Transforma 220V a 110V | - Compatible con múltiples estándares de enchufe (EU, UK, AUS, USA) | - Tamaño compacto y ligero para fácil transporte | - Protección contra sobrecargas y cortocircuitos | 💻 COMPATIBILIDAD: | - Dispositivos electrónicos de hogar | - Laptops y computadoras | - Cargadores de teléfonos y tablets | - Equipos de fotografía y audio"",100,600,,S,N,N,N,1,1"
"🔴 Caja de Sonidos Soundbox para Diversión,Nuevos ingresos,N/A,""🎉 ¡Descubre la manera perfecta de añadir diversión a tus eventos! La Soundbox es ideal para crear atmósferas únicas y sorprendentes en fiestas y reuniones. 🎶 Además, su diseño portátil la hace fácil de usar en cualquier lugar. |  | ⚙️ CARACTERÍSTICAS TÉCNICAS:  | - 12 botones de sonido pregrabados.  | - Diseño compacto y portátil.  | - Alta calidad de audio.  | - Fácil de usar, solo presiona y escucha. |  | 💻 COMPATIBILIDAD:  | - Ideal para fiestas.  | - Perfecta para animaciones de eventos.  | - Usable en reuniones familiares y amigos."",50,300,,S,N,N,N,1,1"
🔴 Affinity Designer Workbook para Diseño Digital,Nuevos ingresos,N/A,✨¡Aprende diseño digital y ilustración de manera divertida! Este libro te guiará a través de las herramientas y técnicas para dominar Affinity Designer. Perfecto para principiantes y profesionales que quieren mejorar sus habilidades. 🎨 |  | ⚙️ CARACTERÍSTICAS TÉCNICAS: | - Contenido interactivo | - Ejercicios prácticos | - Instrucciones paso a paso | - Visuales explicativos |  | 💻 COMPATIBILIDAD: | - Affinity Designer (versiones más recientes) | - Compatible con Windows y macOS,50,500,,S,N,N,N,1,1
"🔴 Ventilador Calefactor Automático 12V,Nuevos ingresos,N/A,""🔥 Mejora la calidad de tu ambiente con el Ventilador Calefactor Automático. Ideal para los días fríos, su diseño compacto y eficiente purifica el aire mientras calienta. Perfecto para auto y espacios pequeños.   | ⚙️ CARACTERÍSTICAS TÉCNICAS:   | - Potencia: 200W   | - Voltaje: 12V   | - Función de purificación del aire   | - Diseño portátil y ligero   | - Cable adaptador para encendedor de auto   | 💻 COMPATIBILIDAD:   | - Vehículos de 12V   | - Ideal para autos, camionetas y SUV   | - Uso en espacios cerrados como garajes o campers"",30,400,,S,N,N,N,1,1"
🔴 Medidor de Gas Propano Bernzomatic,Nuevos ingresos,N/A,🔥 Mantén el control de tu gas propano de manera fácil y efectiva con el Medidor Bernzomatic. Su diseño digital te permite saber en todo momento cuánto gas te queda. ¡No más sorpresas en medio de tu proyecto! ⚙️ CARACTERÍSTICAS TÉCNICAS:  | - Medidor digital fácil de leer  | - Compatible con botellas de 16 oz y 14 oz  | - Incluye baterías para un funcionamiento inmediato.  | 💻 COMPATIBILIDAD:  | - Botellas de gas propano de 16 oz  | - Botellas de gas propano de 14 oz,30,500,,S,N,N,N,1,1
"Funda Rígida MacBook Pro 14"" Gris Translúcido",Nuevos ingresos,N/A,"✨ Protege tu MacBook Pro con estilo y funcionalidad. Esta funda rígida gris translúcido no solo brinda una apariencia elegante, sino que también ofrece una defensa robusta contra golpes y rasguños. ¡No comprometas la seguridad de tu computadora!  | ⚙️ CARACTERÍSTICAS TÉCNICAS:  | - Material: plástico rígido de alta calidad.  | - Diseño preciso para ajuste perfecto.  | - Ventilación optimizada para evitar sobrecalentamiento.  | - Textura antideslizante en la parte inferior.  | 💻 COMPATIBILIDAD:  | - MacBook Pro 14"" (Modelos A2442, A2779, A2918, A2992)",50,500,,S,N,N,N,1,1
Adaptador de Audio Jack 3.5mm a 1/4 VCELimk,Nuevos ingresos,N/A,"¡Dale vida a tu música con este increíble adaptador! 🎶 Conéctate de manera fácil y rápida a tus dispositivos y disfruta de un sonido nítido.  | ⚙️ CARACTERÍSTICAS TÉCNICAS:  | - Conector: Jack 3.5mm a 1/4 (6.35mm)  | - Material: Cobre y metal de alta calidad  | - Longitud del cable: 15 cm  | - Diseño compacto y portátil.  | 💻 COMPATIBILIDAD:  | - Auriculares y micrófonos con jack 3.5mm  | - Consolas de audio y instrumentos musicales  | - Dispositivos móviles, laptops y más.",30,300,,S,N,N,N,1,1
Microscopio Clip Universal 60X para Dispositivos Móviles,Nuevos ingresos,N/A,"🔍 ¡Descubre el mundo microscópico en la palma de tu mano! Este microscopio clip universal es ideal para estudiantes, profesionales y curiosos. Su diseño compacto y fácil de usar lo convierte en el accesorio perfecto para explorar detalles invisibles a simple vista. | ⚙️ CARACTERÍSTICAS TÉCNICAS: | - Ampliación de 60X. | - Compatible con teléfonos móviles y tabletas. | - Incluye iluminación LED para mejor visibilidad. | - Diseño portátil y ligero. | 💻 COMPATIBILIDAD: | - Smartphones (iOS y Android). | - Tabletas. | - Dispositivos con cámara.",290,600,,S,N,N,N,1,1
Lector de Tarjetas y USB ID-Identiv,Nuevos ingresos,N/A,¡Optimiza tu acceso a datos con este lector USB! 🚀 Su diseño compacto te permitirá llevarlo a donde vayas. Perfecto para los profesionales que buscan agilidad y eficacia en el trabajo diario.  | ⚙️ CARACTERÍSTICAS TÉCNICAS:  | - Diseño portátil y ligero.  | - Conexión USB 2.0.  | - Compatible con múltiples tipos de tarjetas.  | - Alta velocidad de lectura y escritura.  | 💻 COMPATIBILIDAD:  | - Windows.  | - macOS.  | - Linux.  | - Dispositivos con puertos USB.,50,1000,,S,N,N,N,1,1
Cable USB-C a Mini-USB 2 Metros AGVEE,Nuevos ingresos,N/A,¡Conéctate con facilidad y estilo! 🔌 Este cable USB-C a Mini-USB de 2 metros trenzado es ideal para cargar y transferir datos de manera rápida y segura. Su diseño duradero asegura resistencia y funcionalidad. 🔥 | ⚙️ CARACTERÍSTICAS TÉCNICAS: | - Longitud: 2 metros | - Conectores: USB-C y Mini-USB | - Diseño trenzado para mayor durabilidad | - Velocidad de transferencia rápida | - Compatible para carga y sincronización | 💻 COMPATIBILIDAD: | - PlayStation 3 | - Cámaras digitales | - Dispositivos GPS | - Otros dispositivos con conexión Mini-USB.,30,300,,S,N,N,N,1,1
Interruptor USB Inalámbrico AEIIE RT040,Nuevos ingresos,N/A,🎉 ¡Controla tus dispositivos con un solo clic! Este interruptor USB inalámbrico te permitirá encender y apagar tus gadgets y tiras LED fácilmente. Disfruta de la comodidad de manejar tu energía sin complicaciones. 🔋 | ⚙️ CARACTERÍSTICAS TÉCNICAS: | - Potencia: 5V 2A | - Diseño compacto y ligero | - Fácil de usar con un solo botón | - Compatible con varios dispositivos USB | 💻 COMPATIBILIDAD: | - Tiras LED | - Gadgets USB | - Dispositivos electrónicos compatibles con USB,50,350,,S,N,N,N,1,1
Horómetro Digital Inalámbrico por Vibración,Nuevos ingresos,N/A,📏 ¡Optimiza el rendimiento de tu maquinaria y motos con este horómetro digital! Su activación por vibración garantiza precisión y durabilidad. Ideal para un uso eficiente. 🚀 | ⚙️ CARACTERÍSTICAS TÉCNICAS: | - Medición de horas con alta precisión. | - Activación por vibración. | - Pantalla digital fácil de leer. | - Diseño compacto y ligero. | - Funciona con batería de larga duración. | 💻 COMPATIBILIDAD: | - Motos | - Generadores | - Equipos de jardinería | - Maquinaria de construcción | - Otros dispositivos activos por vibración.,50,500,,S,N,N,N,1,1
Extensor Wi-Fi 1200Mbps Dual Band con 4 Antenas,Nuevos ingresos,N/A,"📶 Mejora tu conexión a Internet en cada rincón de tu hogar con este potente extensor de señal Wi-Fi. Ya no más zonas muertas, disfruta de streaming y gaming sin interrupciones. ¡Conéctate a la velocidad de la luz!  | ⚙️ CARACTERÍSTICAS TÉCNICAS:   | - Velocidad de hasta 1200Mbps   | - Dual Band (2.4GHz y 5GHz)   | - 4 Antenas para mayor cobertura   | - 2 Puertos LAN para conexiones cableadas   | - Soporte WPS para fácil configuración   | 💻 COMPATIBILIDAD:   | - Routers Wi-Fi 802.11n/g/b   | - Dispositivos móviles   | - Computadoras de escritorio y laptops   | - Consolas de videojuegos   | - Smart TVs",50,500,,S,N,N,N,1,1
Cable Lightning a HDMI 1080p para iPhone/iPad,Nuevos ingresos,N/A,"¡Conecta tu dispositivo a la pantalla grande y disfruta de tus contenidos favoritos! 📱✨ Con nuestro adaptador de Cable Directo Lightning a HDMI, puedes transmitir videos, fotos y juegos desde tu iPhone o iPad a tu TV en alta definición. |  | ⚙️ CARACTERÍSTICAS TÉCNICAS: | - Resolución de imagen: 1080p | - Conexión directa sin necesidad de alimentación externa | - Compatible con video y audio | - Material duradero y flexible para mayor comodidad |  | 💻 COMPATIBILIDAD: | - iPhone (modelos con puerto Lightning) | - iPad (modelos con puerto Lightning) | - Proyectores con entrada HDMI | - Televisores con entrada HDMI",50,500,,S,N,N,N,1,1
Termómetro Profesional para Horno Acero Inoxidable,Nuevos ingresos,N/A,🌟 ¡Cocina como un chef profesional! Este termómetro ofrece mediciones precisas para que tus platillos salgan perfectos. No dejes que la temperatura arruine tus recetas. 🍽️🔥 | ⚙️ CARACTERÍSTICAS TÉCNICAS: | - Fabricado en acero inoxidable resistente. | - Rango de temperatura: 100°F a 600°F. | - Certificado NSF para uso en cocinas comerciales. | - Diseño fácil de leer con gran escala. | 💻 COMPATIBILIDAD: | - Hornos convencionales. | - Hornos de convección. | - Parrillas y asadores.,50,350,,S,N,N,N,1,1
Adaptador USB-C a USB-A - Conexión Fácil,Nuevos ingresos,N/A,"🌟 ¡Conecta tus dispositivos sin complicaciones! Este adaptador USB-C a USB-A es la solución perfecta para transferir datos y cargar tus gadgets. Compacto y ligero, ideal para llevar a todas partes.  | ⚙️ CARACTERÍSTICAS TÉCNICAS:  | - Tipo: Adaptador USB-C a USB-A  | - Diseño: Compacto y portátil  | - Material: Plástico y metal  | - Velocidad de transferencia: Hasta 5 Gbps  | - Compatible con carga rápida  | 💻 COMPATIBILIDAD:  | - Teléfonos móviles con puerto USB-C  | - Tablets con puerto USB-C  | - Laptops con puerto USB-C  | - Dispositivos de almacenamiento USB-C  | - Consumo energético bajo",10,100,,S,N,N,N,1,1
Abrazadera Arca-Swiss Profesional para Trípode,Nuevos ingresos,N/A,"✨ Mejora tu fotografía con la Abrazadera Arca-Swiss Profesional. Fabricada en aluminio CNC, garantiza durabilidad y precisión. Perfecta para fotógrafos profesionales y entusiastas. 🏆  | ⚙️ CARACTERÍSTICAS TÉCNICAS:   | - Fabricada en aluminio CNC de alta calidad   | - Doble nivel de burbuja para mayor precisión   | - Diseño ligero y portátil   | - Fácil instalación y desmontaje   | 💻 COMPATIBILIDAD:   | - Trípodes Arca-Swiss   | - Cámaras DSLR y sin espejo   | - Estabilizadores y rieles de deslizamiento   | - Otros accesorios compatibles con montaje Arca-Swiss",50,350,,S,N,N,N,1,1
"Mini Rótula de Bola 1/4"" Profesional",Nuevos ingresos,N/A,"¿Buscas estabilidad y versatilidad en tus tomas? 🎥✨ Esta mini rótula de bola es perfecta para fotógrafos y videógrafos que desean capturar imágenes impresionantes con facilidad.  | ⚙️ CARACTERÍSTICAS TÉCNICAS:  | - Tamaño compacto y ligero  | - Plato superior anti-deslizante  | - Ajuste de bola para movimientos suaves  | - Rosca estándar de 1/4""  | - Fabricada en materiales duraderos  | 💻 COMPATIBILIDAD:  | - Trípodes profesionales  | - Luces LED  | - Cámaras DSLR  | - Videocámaras  | - Estabilizadores",30,300,,S,N,N,N,1,1
Cargador Original Nintendo DS Lite USG-002,Nuevos ingresos,N/A,🔋 ¡Regresa a la diversión de los videojuegos sin interrupciones! Este cargador original garantiza que tu Nintendo DS Lite esté siempre listo para jugar y ofrece una conexión segura y rápida. 🌟  | ⚙️ CARACTERÍSTICAS TÉCNICAS:  | - Modelo: USG-002  | - Tipo: Cargador de corriente  | - Conector: USB tipo B  | - Diseño compacto y ligero  | - Protección contra sobrecargas  | 💻 COMPATIBILIDAD:  | - Nintendo DS Lite  | - Nintendo DSi (con adaptador adicional)  | - Dispositivos que utilizan carga por USB tipo B,30,350,,S,N,N,N,1,1
Cargador Original Nintendo DS Lite - Calidad OEM,Nuevos ingresos,N/A,🎮 ¡Mantén tu Nintendo DS Lite siempre cargado y listo para jugar! Este cargador original garantiza una carga rápida y eficiente para disfrutar de tus juegos sin interrupciones. 👍  | ⚙️ CARACTERÍSTICAS TÉCNICAS: | - Modelo: USG-002 | - Tipo: Cargador de corriente | - Voltaje: 5V | - Corriente: 900mA | - Longitud del cable: 1.8m | 💻 COMPATIBILIDAD: | - Nintendo DS Lite | - Nintendo DSi | - Nintendo DSi XL,30,350,,S,N,N,N,1,1
Hub Gateway Inteligente Maxcio W-WG001 Zigbee/Bluetooth,Nuevos ingresos,N/A,🌟 ¡Conéctate al futuro con el Hub Gateway Inteligente Maxcio! Este dispositivo hace que tu hogar sea más inteligente al permitir la integración de diversos dispositivos. Controla todo con tu voz gracias a su compatibilidad con Alexa y Google Home.  | ⚙️ CARACTERÍSTICAS TÉCNICAS:  | - Conexión Zigbee y Bluetooth.  | - Botón de Reset para fácil configuración.  | - Puerto USB para fuentes de alimentación.  | - Diseño compacto y moderno.  | 💻 COMPATIBILIDAD:  | - Dispositivos con Alexa.  | - Dispositivos con Google Home.  | - Equipos compatibles con Zigbee.  | - Equipos compatibles con Bluetooth.,50,500,,S,N,N,N,1,1
Capo Profesional JH para Guitarra Acústica y Eléctrica,Nuevos ingresos,N/A,"¡Transforma tu música con este capo profesional! 🎸 Con un diseño innovador y materiales de alta calidad, es perfecto para músicos de todos los niveles. Su alta resistencia garantiza que no dañará tu guitarra. ¡Aumenta tu creatividad musical hoy!  | ⚙️ CARACTERÍSTICAS TÉCNICAS:   | - Fabricado en metal duradero   | - Alta resistencia y durabilidad   | - Diseño ergonómico para fácil uso   | - Sin daños en el instrumento   | - Amplia gama de aplicaciones.   | 💻 COMPATIBILIDAD:   | - Guitarras acústicas de 6 cuerdas   | - Guitarras eléctricas de 6 cuerdas   | - Ideal para músicos de todos los niveles.",30,300,,S,N,N,N,1,1
Alexa Voice Remote Pro para Fire TV,Nuevos ingresos,N/A,"¡Controla tu entretenimiento como nunca antes! 🎉 Con el Alexa Voice Remote Pro puedes acceder a tus aplicaciones y programas favoritos de manera fácil y rápida, solo con tu voz. 🔍 | ⚙️ CARACTERÍSTICAS TÉCNICAS: | - Control remoto de voz para Fire TV. | - Acceso rápido a aplicaciones como Netflix y Prime Video. | - Compatible con Alexa para búsquedas por voz. | - Diseño ergonómico y fácil de usar. | 💻 COMPATIBILIDAD: | - Fire TV Stick 4K. | - Fire TV Cube. | - Fire TV Stick Lite. | - Televisores inteligentes con Fire TV integrado. | - *No compatible con Fire TV de 1ª o 2ª generación.*",50,350,,S,N,N,N,1,1
Lente Pancake Retro 32mm f/10 para Nikon Z,Nuevos ingresos,N/A,"📷 Captura momentos con el Lente Pancake Retro 32mm f/10 ""Focus Free"". Ideal para aquellos que buscan portabilidad y eficiencia en sus fotografías. Su diseño compacto te permitirá llevarlo a donde quieras sin complicaciones. ¡Mejora tu equipo fotográfico hoy!  |  | ⚙️ CARACTERÍSTICAS TÉCNICAS:  | - Distancia focal: 32mm  | - Apertura: f/10  | - Montura: LM Mount  | - Enfoque: Focus Free  |  | 💻 COMPATIBILIDAD:  | - Cámara Nikon Z  | - Adaptadores compatibles con montura LM",50,650,,S,N,N,N,1,1
Cable OBD2 a DB25 para Escáner Automotriz,Nuevos ingresos,N/A,"🚗 ¡Optimiza el diagnóstico de tu vehículo con este cable OBD2 a DB25! Perfecto para técnicos automotrices y entusiastas, este cable garantiza conexiones seguras y efectivas. 💪   | ⚙️ CARACTERÍSTICAS TÉCNICAS:   | - Longitud: 1.5 metros   | - Conectores: OBD2 y DB25 (25 Pines)   | - Material: PVC de alta resistencia   | - Soporta múltiples protocolos OBDII   | 💻 COMPATIBILIDAD:   | - Escáneres automotrices OBDII   | - Computadoras con puerto DB25   | - Vehículos de diferentes marcas y modelos con puerto OBD2.",50,500,,S,N,N,N,1,1
Batería Recargable para Control Xbox Series X/S,Nuevos ingresos,N/A,🔋 ¡Optimiza tus sesiones de juego con nuestra batería recargable de alta calidad! Esta batería asegura que nunca te quedes sin energía mientras disfrutas de tus juegos favoritos. La carga USB-C directa te permite una conexión fácil y rápida.  | ⚙️ CARACTERÍSTICAS TÉCNICAS:  | - Batería recargable de larga duración  | - Carga rápida mediante USB-C  | - Diseño compacto y ligero  | - Compatible con controles de Xbox Series X/S  | 💻 COMPATIBILIDAD:  | - Controlador Xbox Series X  | - Controlador Xbox Series S  | - Compatible con cables USB-C,50,350,,S,N,N,N,1,1
Batería Recargable para Control Xbox Series X/S,Nuevos ingresos,N/A,🔋 ¡Potencia tu experiencia de juego con nuestra batería recargable! No más interrupciones por falta de energía y disfruta de largas horas de diversión.  | ⚙️ CARACTERÍSTICAS TÉCNICAS:  | - Capacidad alta para sesiones prolongadas.  | - Carga rápida mediante puerto tipo C.  | - Diseño ergonómico y ligero.  | - Compatible con controles Xbox Series X y S.  | 💻 COMPATIBILIDAD:  | - Xbox Series X  | - Xbox Series S  | - Controlador Xbox Series,50,350,,S,N,N,N,1,1
Lector de Tarjetas SD a USB-C de Alta Velocidad,Nuevos ingresos,N/A,¡Potencia tu dispositivo con nuestro lector de tarjetas SD a USB-C! 🚀 Conéctate y accede a tus datos fácilmente. Ideal para fotógrafos y creativos que buscan velocidad y eficiencia.  | ⚙️ CARACTERÍSTICAS TÉCNICAS:  | - Compatible con tarjetas SD y microSD.   | - Velocidades de transferencia de hasta 5 Gbps.   | - Diseño compacto y ligero.   | - Plug and Play; no necesita controladores.   | 💻 COMPATIBILIDAD:  | - iPad Pro.   | - MacBook (todos los modelos con USB-C).   | - Dispositivos Android con USB-C.,50,500,,S,N,N,N,1,1
Brazo Extensible para Tablet o Celular en Carro,Nuevos ingresos,N/A,"🚗 ¡Disfruta de tus viajes al máximo! Con nuestro brazo extensible para tablet o celular, tendrás tu dispositivo al alcance de la mano y con total comodidad. Ideal para entretenimiento en el camino. 🔧 | ⚙️ CARACTERÍSTICAS TÉCNICAS: | - Fabricado en materiales duraderos | - Extensible hasta 360 grados | - Montaje seguro en la cabecera del carro | - Ajuste fácil para diferentes tamaños de dispositivos | - Diseño compacto y liviano | 💻 COMPATIBILIDAD: | - Tablets de hasta 10 pulgadas | - Smartphones de diversas marcas y modelos | - Compatible con la mayoría de los vehículos",50,350,,S,N,N,N,1,1
Escritorio Ajustable para Laptop con Enfriamiento,Nuevos ingresos,N/A,"¡Optimiza tu espacio de trabajo con este práctico escritorio ajustable! 🚀 Perfecto para mantener la comodidad y la concentración al trabajar o estudiar.  | ⚙️ CARACTERÍSTICAS TÉCNICAS:  | - Escritorio ajustable en altura para mayor comodidad. | - Almohadilla de enfriamiento integrada para laptops. | - Diseño compacto y portátil, ideal para cualquier espacio. | - Incluye alfombrilla para ratón para facilitar el uso.  | 💻 COMPATIBILIDAD:  | - Laptops de diversas marcas y tamaños. | - Compatible con mouse y otros dispositivos de oficina.",50,650,,S,N,N,N,1,1
